id,kind,date,competitiveness,abbr,name,teams
53,COMBUSTION,2009-05-16,0.97,MI ,Formula SAE® Michigan 2009,90
52,COMBUSTION,2009-04-25,0.92,VA ,Formula SAE® Virginia 2009,21
51,COMBUSTION,2008-11-30,0.94,AU ,Formula SAE® Australasia 2008,24
50,COMBUSTION,2008-11-09,0.85,BR ,Fórmula SAE® Brasil 2008,10
49,COMBUSTION,2008-09-22,0.92,IT ,Formula SAE® Italy 2008,31
48,COMBUSTION,2008-09-13,0.91,JP ,Student Formula Japan 2008,62
47,COMBUSTION,2008-08-10,0.94,DE ,Formula Student Germany 2008,77
46,COMBUSTION,2008-07-13,0.95,UK ,Formula Student United Kingdom 2008,72
45,COMBUSTION,2008-06-28,0.93,CA ,Formula SAE® California 2008,59
44,COMBUSTION,2008-05-17,1.0,MI ,Formula SAE® Michigan 2008,104
43,COMBUSTION,2008-04-26,0.88,VA ,Formula SAE® Virginia 2008,28
42,COMBUSTION,2007-12-16,0.92,AU ,Formula SAE® Australasia 2007,22
41,COMBUSTION,2007-11-11,0.85,BR ,Fórmula SAE® Brasil 2007,11
40,COMBUSTION,2007-09-23,0.9,IT ,Formula SAE® Italy 2007,20
39,COMBUSTION,2007-09-15,0.92,JP ,Student Formula Japan 2007,58
38,COMBUSTION,2007-08-12,0.95,DE ,Formula Student Germany 2007,53
37,COMBUSTION,2007-07-15,0.97,UK ,Formula Student United Kingdom 2007,69
36,COMBUSTION,2007-06-16,0.95,CA ,Formula SAE® California 2007,59
35,COMBUSTION,2007-05-19,0.99,MI ,Formula SAE® Michigan 2007,105
34,COMBUSTION,2006-12-17,0.93,AU ,Formula SAE® Australasia 2006,27
33,COMBUSTION,2006-09-16,0.9,JP ,Student Formula Japan 2006,50
32,COMBUSTION,2006-09-10,0.86,IT ,Formula SAE® Italy 2006,17
31,COMBUSTION,2006-08-06,0.94,DE ,Formula Student Germany 2006,38
30,COMBUSTION,2006-07-08,0.93,UK ,Formula Student United Kingdom 2006,58
29,COMBUSTION,2006-06-17,0.97,CA ,Formula SAE® California 2006,49
28,COMBUSTION,2006-05-20,0.99,MI ,Formula SAE® Michigan 2006,118
27,COMBUSTION,2005-12-04,0.92,AU ,Formula SAE® Australasia 2005,24
26,COMBUSTION,2005-09-25,0.85,IT ,Formula SAE® Italy 2005,10
25,COMBUSTION,2005-09-09,0.85,JP ,Student Formula Japan 2005,39
24,COMBUSTION,2005-07-10,0.93,UK ,Formula Student United Kingdom 2005,57
23,COMBUSTION,2005-05-22,0.99,MI ,Formula SAE® Michigan 2005,114
22,COMBUSTION,2004-12-05,0.93,AU ,Formula SAE® Australasia 2004,22
21,COMBUSTION,2004-09-02,0.86,JP ,Student Formula Japan 2004,27
20,COMBUSTION,2004-07-11,0.9,UK ,Formula Student United Kingdom 2004,53
19,COMBUSTION,2004-05-24,1.0,MI ,Formula SAE® Michigan 2004,129
18,COMBUSTION,2003-12-07,0.95,AU ,Formula SAE® Australasia 2003,21
17,COMBUSTION,2003-09-12,0.85,JP ,Student Formula Japan 2003,15
16,COMBUSTION,2003-07-07,0.86,UK ,Formula Student United Kingdom 2003,34
15,COMBUSTION,2003-05-18,1.0,MI ,Formula SAE® Michigan 2003,111
14,COMBUSTION,2002-12-08,0.87,AU ,Formula SAE® Australasia 2002,18
13,COMBUSTION,2002-07-07,0.87,UK ,Formula Student United Kingdom 2002,35
12,COMBUSTION,2002-05-19,0.99,MI ,Formula SAE® Michigan 2002,121
11,COMBUSTION,2001-12-01,0.85,AU ,Formula SAE® Australasia 2001,18
10,COMBUSTION,2001-07-01,0.86,UK ,Formula Student United Kingdom 2001,23
9,COMBUSTION,2001-05-01,1.0,MI ,Formula SAE® Michigan 2001,108
8,COMBUSTION,2000-05-01,0.99,MI ,Formula SAE® Michigan 2000,94
7,COMBUSTION,1999-05-01,1.0,MI ,Formula SAE® Michigan 1999,89
6,COMBUSTION,1998-05-01,1.0,MI ,Formula SAE® Michigan 1998,81
5,COMBUSTION,1997-05-01,0.98,MI ,Formula SAE® Michigan 1997,66
4,COMBUSTION,1996-05-01,0.99,MI ,Formula SAE® Michigan 1996,68
3,COMBUSTION,1995-05-01,0.99,MI ,Formula SAE® Michigan 1995,69
2,COMBUSTION,1994-05-01,0.96,MI ,Formula SAE® Michigan 1994,58
1,COMBUSTION,1992-05-01,1.0,MI ,Formula SAE® Michigan 1992,10
